"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";
"#Hermia_MND,""#Titania_MND"",0.188193998500859,54,""How came these things to pass?"",""Then let us teach our trial patience Because it is a customary cross, As due to love as thoughts and dreams and sighs, Wishes and tears, poor fancy's followers.""";
"#Hermia_MND,""#Titania_MND"",0.218699155757652,8,""The fold stands empty in the drownèd field, And crows are fatted with the murrain flock."",""And in the wood where often you and I Upon faint primrose beds were wont to lie, Emptying our bosoms of their counsel sweet, There my Lysander and myself shall meet And thence from Athens turn away our eyes To seek new friends and stranger companies.""";
"#Hermia_MND,""#Titania_MND"",0.22854646326708,36,""-  Peaseblossom, Cobweb, Mote, and Mustardseed!"",""Help me, Lysander, help me!""";
"#Hermia_MND,""#Titania_MND"",0.251444534463314,12,""Therefore the moon, the governess of floods, Pale in her anger, washes all the air, That rheumatic diseases do abound."",""Before the time I did Lysander see Seemed Athens as a paradise to me.""";
"#Hermia_MND,""#Titania_MND"",0.257551860446285,32,""I am a spirit of no common rate."",""Then I well perceive you are not nigh.""";
"#Hermia_MND,""#Titania_MND"",0.265780751218148,14,""The spring, the summer, The childing autumn, angry winter, change Their wonted liveries, and the mazèd world By their increase now knows not which is which."",""Belike for want of rain, which I could well Beteem them from the tempest of my eyes.""";
"#Hermia_MND,""#Titania_MND"",0.272769227292589,9,""The nine-men's-morris is filled up with mud, And the quaint mazes in the wanton green, For lack of tread, are undistinguishable."",""Belike for want of rain, which I could well Beteem them from the tempest of my eyes.""";
"#Hermia_MND,""#Titania_MND"",0.273951612808339,40,""Tie up my lover's tongue."",""Do thy best To pluck this crawling serpent from my breast.""";
"#Hermia_MND,""#Titania_MND"",0.279102631606907,1,""I have forsworn his bed and company."",""I give him curses, yet he gives me love.""";
"#Hermia_MND,""#Titania_MND"",0.279553092603454,7,""The ox hath therefore stretched his yoke in vain, The plowman lost his sweat, and the green corn Hath rotted ere his youth attained a beard."",""Take comfort: he no more shall see my face.""";
